station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
0CO,9/2/2023 3:15,48.2,30.2,49.53,250,13,0,30.72,,10,17,CLR,,,,,,,,,,,,,,,42.32,K0CO 020915Z AUTO 25013G17KT 10SM CLR 09/M01 A3072 RMK AO2,
0CO,9/2/2023 3:35,46.4,30.2,53,250,13,0,30.73,,10,,CLR,,,,,,,,,,,,,,,40.02,K0CO 020935Z AUTO 25013KT 10SM CLR 08/M01 A3073 RMK AO2,
0CO,9/2/2023 3:55,46.4,30.2,53,250,12,0,30.73,,10,15,CLR,,,,,,,,,,,,,,,40.33,K0CO 020955Z AUTO 25012G15KT 10SM CLR 08/M01 A3073 RMK AO2,
0CO,9/2/2023 4:15,46.4,30.2,53,250,12,0,30.73,,10,,CLR,,,,,,,,,,,,,,,40.33,K0CO 021015Z AUTO 25012KT 10SM CLR 08/M01 A3073 RMK AO2,
0CO,9/2/2023 4:35,48.2,28.4,46.02,240,11,0,30.73,,10,16,CLR,,,,,,,,,,,,,,,42.94,K0CO 021035Z AUTO 24011G16KT 10SM CLR 09/M02 A3073 RMK AO2,
0CO,9/2/2023 4:55,48.2,28.4,46.02,220,7,0,30.73,,10,,CLR,,,,,,,,,,,,,,,44.53,K0CO 021055Z AUTO 22007KT 161V261 10SM CLR 09/M02 A3073 RMK AO2,
0CO,9/2/2023 5:15,46.4,28.4,49.24,250,11,0,30.73,,10,14,CLR,,,,,,,,,,,,,,,40.66,K0CO 021115Z AUTO 25011G14KT 10SM CLR 08/M02 A3073 RMK AO2,
0CO,9/2/2023 5:35,46.4,28.4,49.24,240,10,0,30.73,,10,,CLR,,,,,,,,,,,,,,,41.03,K0CO 021135Z AUTO 24010KT 10SM CLR 08/M02 A3073 RMK AO2,
0CO,9/2/2023 5:55,46.4,28.4,49.24,250,12,0,30.72,,10,15,CLR,,,,,,,,,,,,,,,40.33,K0CO 021155Z AUTO 25012G15KT 231V041 10SM CLR 08/M02 A3072 RMK AO2,
0CO,9/2/2023 6:15,46.4,28.4,49.24,240,7,0,30.73,,10,15,CLR,,,,,,,,,,,,,,,42.33,K0CO 021215Z AUTO 24007G15KT 10SM CLR 08/M02 A3073 RMK AO2,
0CO,9/2/2023 6:35,44.6,26.6,48.96,240,11,0,30.73,,10,22,CLR,,,,,,,,,,,,,,,38.39,K0CO 021235Z AUTO 24011G22KT 10SM CLR 07/M03 A3073 RMK AO2,
0CO,9/2/2023 6:55,44.6,26.6,48.96,240,8,0,30.74,,10,,CLR,,,,,,,,,,,,,,,39.63,K0CO 021255Z AUTO 24008KT 10SM CLR 07/M03 A3074 RMK AO2,
